Quarters,AvgEmissionsSavings,StdEmissionsSavings,Label
1,72.87583333333332,1.1325493612004551,"Informative-all, Gradual, Not-Implemented"
2,74.47749999999999,1.9616330356788647,"Informative-all, Gradual, Not-Implemented"
3,75.27833333333332,2.9964439572414694,"Informative-all, Gradual, Not-Implemented"
4,76.07916666666667,4.083464793802228,"Informative-all, Gradual, Not-Implemented"
5,77.68083333333333,4.530197444801814,"Informative-all, Gradual, Not-Implemented"
6,77.68083333333333,4.530197444801814,"Informative-all, Gradual, Not-Implemented"
7,77.68083333333333,4.530197444801814,"Informative-all, Gradual, Not-Implemented"
8,78.48166666666665,4.0834647938022215,"Informative-all, Gradual, Not-Implemented"
9,78.48166666666665,4.0834647938022215,"Informative-all, Gradual, Not-Implemented"
10,78.48166666666665,4.0834647938022215,"Informative-all, Gradual, Not-Implemented"
11,79.2825,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
12,79.2825,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
13,79.2825,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
14,79.2825,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
15,79.2825,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
16,81.68499999999999,3.397648083601359,"Informative-all, Gradual, Not-Implemented"
17,81.68499999999999,3.397648083601359,"Informative-all, Gradual, Not-Implemented"
18,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
19,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
20,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
21,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
22,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
23,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
24,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
25,84.88833333333334,2.996443957241464,"Informative-all, Gradual, Not-Implemented"
26,85.68916666666667,2.2650987224009103,"Informative-all, Gradual, Not-Implemented"
27,86.49,1.9616330356788647,"Informative-all, Gradual, Not-Implemented"
28,86.49,1.9616330356788647,"Informative-all, Gradual, Not-Implemented"
29,87.29083333333331,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
30,87.29083333333331,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
31,87.29083333333331,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
32,87.29083333333331,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
33,88.89249999999998,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
34,88.89249999999998,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
35,88.89249999999998,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
36,88.89249999999998,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
37,88.89249999999998,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
38,89.69333333333333,4.936668214044323,"Informative-all, Gradual, Not-Implemented"
39,89.69333333333333,4.936668214044323,"Informative-all, Gradual, Not-Implemented"
40,90.49416666666666,5.992887914482932,"Informative-all, Gradual, Not-Implemented"
41,90.49416666666666,5.992887914482932,"Informative-all, Gradual, Not-Implemented"
42,90.49416666666666,5.992887914482932,"Informative-all, Gradual, Not-Implemented"
43,91.295,5.189993175974962,"Informative-all, Gradual, Not-Implemented"
44,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
45,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
46,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
47,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
48,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
49,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
50,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
51,92.09583333333332,4.936668214044324,"Informative-all, Gradual, Not-Implemented"
